ACCEPT_SESSION_ARBC,ACK_TAKEOVER_HRBC,APPLY_SUPERVISION_EVC,COORDINATE_MA_HRBC,DISPLAY_UPDATE_DMI,EMERGENCY_BRAKE_EVC,EVALUATE_FRONT_EVC,EVALUATE_REAR_EVC,EVALUATE_SESSION_REQ_ARBC,FORWARD_ANNOUNCEMENT_TO_ARBC_HRBC,PROCESS_COORDINATION_ARBC,PROCESS_MA_EVC,REJECT_SESSION_ARBC,REQ_SESSION_ARBC_RTM,RX_ARBC_GRANT_SUPERVISION_RTM,RX_HRBC_TERMINATION_ORDER_RTM,RX_HRBC_TRANSITION_ORDER_RTM,RX_POS_REPORT_ARBC,RX_POS_REPORT_HRBC,SESSION_ESTABLISHED_ARBC_RTM,SESSION_REJECTED_ARBC_RTM,TERMINATE_SESSION_HRBC_RTM,TX_GRANT_SUPERVISION_ARBC,TX_POS_REPORT_RTM,TX_TERMINATION_ORDER_HRBC,TX_TRANSITION_ORDER_HRBC,Fitness,Component
0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,2,0.6562479492251587,HRBC
0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,2,0.7380934807298078,HRBC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.8571397959293002,HRBC
0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1,2,0.6666650793688587,HRBC
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8695614366894057,HRBC
0,1,0,0,2,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,4,0.3636347107513148,HRBC
0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,2,0.73999852000296,HRBC
0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0.7608679111567149,HRBC
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0.8695633270362456,HRBC
0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,4,0,0,1,0,0,2,0,0.7307678254464895,HRBC
1,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6363607438148009,HRBC
0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0.7804859012538994,HRBC
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,1,0,0,1,5,0.5937481445370483,HRBC
0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0.777776337451227,HRBC
0,1,0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0.5454520661269722,HRBC
0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,1,2,0,0.7619029478501241,HRBC
0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0.7708317274339012,HRBC
